device,value,footprint,loadstatus,provided,mfg,mfg_part_number,vendor,vendor_part_number,quantity,refdes
"IC","MCP73831","SOT23-5","smt","yes","unknown","MCP73831T-2ACI/OT","mouser","579-MCP73831T-2ACIOT",1,"U6"
"IC","STM32F042G6U","ufqfpn28","smt","no","unknown","STM32F042G6U6","mouser","511-STM32F042G6U6",1,"U4"
"IC","TC2185-3.3","SOT23-5","smt","no","unknown","TC2185-3.3VCTTR","digikey","TC2185-3.3VCCT-ND",1,"U2"
"IC","W25Q16","SOIJ8","smt","no","unknown","W25Q16JVSSIQ","digikey","W25Q16JVSSIQ-ND",1,"U1"
"INDUCTOR","15nH","0402","smt","no","unknown","LQG15HS15NJ02D","digikey","490-2625-1-ND",2,"L172 L193"
"INDUCTOR","22nH","0402","smt","no","unknown","LQG15HS22NJ02D","digikey","490-2627-1-ND",1,"L174"
"INDUCTOR","27nH","0402","smt","no","unknown","LQG15HS27NJ02D","digikey","490-2628-1-ND",2,"L192 L201"
"INDUCTOR","43nH","0402","smt","no","unknown","MLG1005S43NJT000","digikey","445-6314-1-ND",1,"L173"
"INDUCTOR","56nH","0402","smt","no","unknown","LQG15HS56NJ02D","digikey","490-2632-1-ND",2,"L171 L191"
"LED","dualLED","0605","smt","yes","unknown","LTST-C195KGJRKT","digikey","160-1452-1-ND",1,"D1"
"LED","green","0603diode","smt","no","unknown","LTST-C190KGKT","digikey","160-1435-1-ND",1,"D2"
"RESISTOR","10k","0402","smt","no","unknown","ERJ-2RKF1002X","digikey","P10.0KLTR-ND",3,"R10 R12 R9"
"RESISTOR","18","0402","smt","no","unknown","ERJ-2RKF18R0X","digikey","P18.0LCT-ND",1,"R171"
"RESISTOR","1k","0402","smt","no","unknown","ERJ-2RKF1001X","digikey","P1.00KLTR-ND",2,"R6 R7"
"RESISTOR","2.49k","0402","smt","no","unknown","ERJ-2RKF2491X","digikey","P2.49KLCT-ND",1,"R8"
"RESISTOR","270","0402","smt","no","unknown","ERJ-2RKF2700X","digikey","P270LCT-ND",1,"R2"
"RESISTOR","33","0402","smt","no","unknown","ERJ-2RKF33R0X","digikey","P33.0LCT-ND",2,"R3 R4"
"RESISTOR","3.3k","0402","smt","no","unknown","ERJ-2RKF3301X","digikey","P3.30KLCT-ND",1,"R5"
"RESISTOR","5.6k","0402","smt","no","unknown","ERJ-2RKF5601X","digikey","P5.60KLCT-ND",1,"R11"
"RESISTOR","56k","0402","smt","no","unknown","ERJ-2RKF5602X","digikey","P56.0KLCT-ND",1,"R30"
